BUILDINGNU,BUILDINGST,DIAMETER,SPECIES,BOROUGH,ZIPCODE
74A,TRINITY PLACE,6,PYCA,Manhattan,10006
74,TRINITY PLACE,5,PYCA,Manhattan,10006
2,WASHINGTON STREET,4,GLTR,Manhattan,10004
18,WASHINGTON STREET,10,GLTR,Manhattan,10004
26,WASHINGTON STREET,3,GLTR,Manhattan,10004
29,BROADWAY,15,PLAC,Manhattan,10006
78,TRINITY PLACE,4,PYCA,Manhattan,10006
74,TRINITY PLACE,7,PYCA,Manhattan,10006
17,BATTERY PLACE,9,GLTR,Manhattan,10004
2,WASHINGTON STREET,15,PLAC,Manhattan,10004
26,WASHINGTON STREET,8,GLTR,Manhattan,10004
21,WEST STREET,4,GLTR,Manhattan,10004
29,BROADWAY,5,GLTR,Manhattan,10006
29,BROADWAY,7,GLTR,Manhattan,10006
25,BROADWAY,2,UNK,Manhattan,10004
25,BROADWAY,2,UNK,Manhattan,10004
25,BROADWAY,3,GLTR,Manhattan,10004
11,GREENWICH STREET,2,UNK,Manhattan,10004
25,BROADWAY,3,GLTR,Manhattan,10004
25,BROADWAY,2,UNK,Manhattan,10004
25,BROADWAY,2,UNK,Manhattan,10004
90,WASHINGTON STREET,3,GLTR,Manhattan,10006
90,WASHINGTON STREET,4,PYCA,Manhattan,10006
90,WASHINGTON STREET,4,PYCA,Manhattan,10006
85,WEST STREET,5,STJA2,Manhattan,10006
125,BARCLAY STREET,4,GLTR,Manhattan,10007
125,BARCLAY STREET,5,GLTR,Manhattan,10007
125,BARCLAY STREET,4,GLTR,Manhattan,10007
125,BARCLAY STREET,11,QUPA,Manhattan,10007
125,BARCLAY STREET,3,QUPA,Manhattan,10007
125,BARCLAY STREET,10,QUPA,Manhattan,10007
125,BARCLAY STREET,11,QUPA,Manhattan,10007
125,BARCLAY STREET,10,QUPA,Manhattan,10007
13,HUDSON STREET,12,PYCA,Manhattan,10013
13,HUDSON STREET,9,PYCA,Manhattan,10013
13,HUDSON STREET,16,PYCA,Manhattan,10013
134,READE STREET,16,PYCA,Manhattan,10013
134,READE STREET,11,PYCA,Manhattan,10013
156,READE STREET,4,MEGL,Manhattan,10013
275,GREENWICH STREET,9,GLTR,Manhattan,10007
275,GREENWICH STREET,8,GLTR,Manhattan,10007
295,GREENWICH STREET,5,GLTR,Manhattan,10007
292,GREENWICH STREET,4,ACPL,Manhattan,10007
275,GREENWICH STREET,7,GLTR,Manhattan,10007
275,GREENWICH STREET,8,GLTR,Manhattan,10007
295,GREENWICH STREET,11,GLTR,Manhattan,10007
292,GREENWICH STREET,3,QUAC,Manhattan,10007
292,GREENWICH STREET,8,QUPA,Manhattan,10007
292,GREENWICH STREET,8,QUPA,Manhattan,10007
90,WASHINGTON STREET,3,GLTR,Manhattan,10006
90,WASHINGTON STREET,3,GLTR,Manhattan,10006
90,WASHINGTON STREET,4,PYCA,Manhattan,10006
75,WEST STREET,5,STJA2,Manhattan,10006
85,WEST STREET,4,STJA2,Manhattan,10006
125,BARCLAY STREET,4,GLTR,Manhattan,10007
125,BARCLAY STREET,5,GLTR,Manhattan,10007
101,BARCLAY STREET,7,GIBI,Manhattan,10007
101,MURRAY STREET,10,GIBI,Manhattan,10007
101,MURRAY STREET,7,GIBI,Manhattan,10007
101,MURRAY STREET,8,GIBI,Manhattan,10007
125,BARCLAY STREET,4,QUPA,Manhattan,10007
125,BARCLAY STREET,5,QUPA,Manhattan,10007
101,BARCLAY STREET,6,GIBI,Manhattan,10007
101,BARCLAY STREET,8,GIBI,Manhattan,10007
101,MURRAY STREET,7,GIBI,Manhattan,10007
101,MURRAY STREET,6,GIBI,Manhattan,10007
101,MURRAY STREET,6,GIBI,Manhattan,10007
101,BARCLAY STREET,7,GIBI,Manhattan,10007
101,BARCLAY STREET,6,GIBI,Manhattan,10007
101,BARCLAY STREET,6,GIBI,Manhattan,10007
75,PARK PLACE,5,GLTR,Manhattan,10007
75,PARK PLACE,6,GLTR,Manhattan,10007
275,GREENWICH STREET,5,GLTR,Manhattan,10007
275,GREENWICH STREET,5,GLTR,Manhattan,10007
275,GREENWICH STREET,7,GLTR,Manhattan,10007
200,CHAMBERS STREET,9,ULAM,Manhattan,10007
75,PARK PLACE,5,GLTR,Manhattan,10007
75,PARK PLACE,6,GLTR,Manhattan,10007
275,GREENWICH STREET,5,GLTR,Manhattan,10007
275,GREENWICH STREET,5,GLTR,Manhattan,10007
275,GREENWICH STREET,5,GLTR,Manhattan,10007
200,CHAMBERS STREET,8,ULAM,Manhattan,10007
292,GREENWICH STREET,9,QUPA,Manhattan,10007
292,GREENWICH STREET,10,QUPA,Manhattan,10007
292,GREENWICH STREET,9,QUPA,Manhattan,10007
292,GREENWICH STREET,8,QUPA,Manhattan,10007
121,READE STREET,6,PYCA,Manhattan,10013
121,READE STREET,7,PYCA,Manhattan,10013
151,READE STREET,11,PYCA,Manhattan,10013
151,READE STREET,11,PYCA,Manhattan,10013
303,GREENWICH STREET,4,GLTR,Manhattan,10013
311,GREENWICH STREET,12,PYCA,Manhattan,10013
292,GREENWICH STREET,8,QUPA,Manhattan,10007
121,READE STREET,5,PYCA,Manhattan,10013
151,READE STREET,12,PYCA,Manhattan,10013
151,READE STREET,13,PYCA,Manhattan,10013
151,READE STREET,13,PYCA,Manhattan,10013
303,GREENWICH STREET,4,GLTR,Manhattan,10013
311,GREENWICH STREET,13,PYCA,Manhattan,10013
167,CHAMBERS STREET,2,PYCA,Manhattan,10007
311,GREENWICH STREET,13,PYCA,Manhattan,10013
